[freebase -> gkg: progress] 20850 done, 0 error
[freebase -> gkg: progress] 20900 done, 0 error
[freebase -> gkg: progress] 20950 done, 0 error
[freebase -> gkg: progress] 21000 done, 0 error
[freebase -> gkg: progress] 21050 done, 0 error
[freebase -> gkg: progress] 21100 done, 0 error
[freebase -> gkg: progress] 21150 done, 0 error
[freebase -> gkg: progress] 21200 done, 0 error
[freebase -> gkg: progress] 21250 done, 0 error
[freebase -> gkg: progress] 21300 done, 0 error
[freebase -> gkg: progress] 21350 done, 0 error
[freebase -> gkg: progress] 21400 done, 0 error
[freebase -> gkg: progress] 21450 done, 0 error
[freebase -> gkg: progress] 21500 done, 0 error
[freebase -> gkg: progress] 21550 done, 0 error
[freebase -> gkg: progress] 21600 done, 0 error
[freebase -> gkg: progress] 21650 done, 0 error
[freebase -> gkg: progress] 21700 done, 0 error
[freebase -> gkg: progress] 21750 done, 0 error
[freebase -> gkg: progress] 21800 done, 0 error
[freebase -> gkg: progress] 21850 done, 0 error
[freebase -> gkg: progress] 21900 done, 0 error
[freebase -> gkg: progress] 21950 done, 0 error
[freebase -> gkg: progress] 22000 done, 0 error
[freebase -> gkg: progress] 22050 done, 0 error
[freebase -> gkg: progress] 22100 done, 0 error
[freebase -> gkg: progress] 22150 done, 0 error
[freebase -> gkg: progress] 22200 done, 0 error
[freebase -> gkg: progress] 22250 done, 0 error
[freebase -> gkg: progress] 22300 done, 0 error
[freebase -> gkg: progress] 22350 done, 0 error
[freebase -> gkg: progress] 22400 done, 0 error
[freebase -> gkg: progress] 22450 done, 0 error
[freebase -> gkg: progress] 22500 done, 0 error
[freebase -> gkg: progress] 22550 done, 0 error
[freebase -> gkg: progress] 22600 done, 0 error
[freebase -> gkg: progress] 22650 done, 0 error
[freebase -> gkg: progress] 22700 done, 0 error
[freebase -> gkg: progress] 22750 done, 0 error
[freebase -> gkg: progress] 22800 done, 0 error
[freebase -> gkg: progress] 22850 done, 0 error
[freebase -> gkg: progress] 22900 done, 0 error
[freebase -> gkg: progress] 22950 done, 0 error
[freebase -> gkg: progress] 23000 done, 0 error
[freebase -> gkg: progress] 23050 done, 0 error
[freebase -> gkg: progress] 23100 done, 0 error
[freebase -> gkg: progress] 23150 done, 0 error
[freebase -> gkg: progress] 23200 done, 0 error
[freebase -> gkg: progress] 23250 done, 0 error
[freebase -> gkg: progress] 23300 done, 0 error
[freebase -> gkg: progress] 23350 done, 0 error
[freebase -> gkg: progress] 23400 done, 0 error
[freebase -> gkg: progress] 23450 done, 0 error
[freebase -> gkg: progress] 23500 done, 0 error
[freebase -> gkg: progress] 23550 done, 0 error
[freebase -> gkg: progress] 23600 done, 0 error
[freebase -> gkg: progress] 23650 done, 0 error
[freebase -> gkg: progress] 23700 done, 0 error
[freebase -> gkg: progress] 23750 done, 0 error
[freebase -> gkg: progress] 23800 done, 0 error
[freebase -> gkg: progress] 23850 done, 0 error
[freebase -> gkg: progress] 23900 done, 0 error
[freebase -> gkg: progress] 23950 done, 0 error
[freebase -> gkg: progress] 24000 done, 0 error
[freebase -> gkg: progress] 24050 done, 0 error
[freebase -> gkg: progress] 24100 done, 0 error
[freebase -> gkg: progress] 24150 done, 0 error
[freebase -> gkg: progress] 24200 done, 0 error
[freebase -> gkg: progress] 24250 done, 0 error
[freebase -> gkg: progress] 24300 done, 0 error
[freebase -> gkg: progress] 24350 done, 0 error
[freebase -> gkg: progress] 24400 done, 0 error
[freebase -> gkg: progress] 24450 done, 0 error
[freebase -> gkg: progress] 24500 done, 0 error
[freebase -> gkg: progress] 24550 done, 0 error
[freebase -> gkg: progress] 24600 done, 0 error
[freebase -> gkg: progress] 24650 done, 0 error
[freebase -> gkg: progress] 24700 done, 0 error
[freebase -> gkg: progress] 24750 done, 0 error
[freebase -> gkg: progress] 24800 done, 0 error
[freebase -> gkg: progress] 24850 done, 0 error
[freebase -> gkg: progress] 24900 done, 0 error
